Samurai Bringer$$%%1851280$$%%7,922$$%%60.0 k$$%%57.4 k$$%%28.1 k
Will You Snail?$$%%1115050$$%%3,921$$%%92.7 k$$%%27.1 k$$%%77.5 k
Islets$$%%1669420$$%%5,249$$%%119.4 k$$%%24.3 k$$%%31.7 k
LEGIONCRAFT$$%%1100930$$%%9,934$$%%50.1 k$$%%69.3 k$$%%40.7 k
Lost in Play$$%%1328840$$%%14,607$$%%201.8 k$$%%165.9 k$$%%160.1 k
Midnight Fight Express$$%%1390410$$%%19,366$$%%844.0 k$$%%56.3 k$$%%58.3 k
A Little to the Left$$%%1629520$$%%33,193$$%%328.0 k$$%%1.11 M$$%%268.0 k
Ghost Song$$%%347800$$%%16,292$$%%170.0 k$$%%23.6 k$$%%31.0 k
Ship of Fools$$%%1286580$$%%27,925$$%%308.6 k$$%%362.6 k$$%%120.6 k
Haiku, the Robot$$%%1231880$$%%7,470$$%%298.1 k$$%%43.9 k$$%%73.9 k
Moonscars$$%%1374970$$%%16,105$$%%110.7 k$$%%26.1 k$$%%29.2 k
Souldiers$$%%1419160$$%%16,302$$%%788.5 k$$%%45.8 k$$%%67.5 k
Crystal Project$$%%1637730$$%%9,812$$%%84.1 k$$%%53.9 k$$%%56.9 k
Last Command$$%%1487270$$%%6,772$$%%39.0 k$$%%32.4 k$$%%54.7 k
Rogue Tower$$%%1843760$$%%20,587$$%%285.2 k$$%%349.6 k$$%%156.5 k
Roadwarden$$%%1155970$$%%18,919$$%%1.16 M$$%%184.5 k$$%%100.4 k
Warriors of the Nile 2$$%%1682060$$%%3,178$$%%11.5 k$$%%29.9 k$$%%31.0 k
The Heroic Legend of Eagarlnia$$%%1116880$$%%10,059$$%%38.3 k$$%%49.2 k$$%%47.4 k
Patrick's Parabox$$%%1260520$$%%8,654$$%%197.8 k$$%%99.4 k$$%%103.1 k
